,text,labels_0,labels_1,labels_2,labels_3,labels_4,labels_5,labels_6,labels_7,labels_8,labels_9,labels_10,labels_11,labels_12,labels_13,labels_14,labels_15
30,"Aber die Bedienung war schon sehr unfreundlich und wollte das Menu nicht ein klein wenig erklären, was bei den Preisen schon ganz nett wäre.","('SERVICE', 'NEGATIVE', 'Bedienung')",,,,,,,,,,,,,,,
31,"Aber die Bedienung war schon sehr unfreundlich und wollte das Menu nicht ein klein wenig erklären, was bei den Preisen schon ganz nett wäre.",,,,,,,,,,,,,,,,
32,Aber die Kellner schaffen es sehr gut sich dort durchzuwinden und trotz des brechend vollen Hauses kam unser Essen nach normaler Wartezeit.,"('SERVICE', 'POSITIVE', 'Kellner')",,,,,,,,,,,,,,,
33,Aber die Kellner schaffen es sehr gut sich dort durchzuwinden und trotz des brechend vollen Hauses kam unser Essen nach normaler Wartezeit.,,,,,,,,,,,,,,,,
34,Aber er war nicht ganz schlecht.,"('GENERAL-IMPRESSION', 'NEUTRAL', 'NULL')",,,,,,,,,,,,,,,
35,Aber er war nicht ganz schlecht.,,,,,,,,,,,,,,,,
36,"Aber es gab zu viele ""aber"" man ist freundlich, hat sich hier aber doch sehr vom Ruf des Fernsehkochs abhängig gemacht.","('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')",,,,,,,,,,,,,,,
37,"Aber es gab zu viele ""aber"" man ist freundlich, hat sich hier aber doch sehr vom Ruf des Fernsehkochs abhängig gemacht.",,,,,,,,,,,,,,,,
38,Aber freundliche und schnelle Bedienung.,"('SERVICE', 'POSITIVE', 'Bedienung')",,,,,,,,,,,,,,,
39,Aber freundliche und schnelle Bedienung.,,,,,,,,,,,,,,,,
40,Aber leider lässt die Qualität des Essens zu wünschen übrig.,"('FOOD', 'NEGATIVE', 'Essens')",,,,,,,,,,,,,,,
41,Aber leider lässt die Qualität des Essens zu wünschen übrig.,,,,,,,,,,,,,,,,
42,Aber trotzdem ist der Besuch lohnend und zu empfehlen.,"('GENERAL-IMPRESSION', 'POSITIVE', 'Besuch')",,,,,,,,,,,,,,,
43,Aber trotzdem ist der Besuch lohnend und zu empfehlen.,,,,,,,,,,,,,,,,
44,Aber was hier aktuell kredenzt wird und vor allem das unprofessionelle Ambiente schreckt ab.,"('FOOD', 'NEGATIVE', 'NULL')","('AMBIENCE', 'NEGATIVE', 'Ambiente')",,,,,,,,,,,,,,
45,Aber was hier aktuell kredenzt wird und vor allem das unprofessionelle Ambiente schreckt ab.,,,,,,,,,,,,,,,,
46,Absolut freundlicher Kellner ( Chef ?,"('SERVICE', 'POSITIVE', 'Kellner')",,,,,,,,,,,,,,,
47,Absolut freundlicher Kellner ( Chef ?,,,,,,,,,,,,,,,,
48,Absolut schlechte Küche!,"('FOOD', 'NEGATIVE', 'Küche')",,,,,,,,,,,,,,,
49,Absolut schlechte Küche!,,,,,,,,,,,,,,,,
50,Absolut weiterzuempfehlen.,"('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')",,,,,,,,,,,,,,,
51,Absolut weiterzuempfehlen.,,,,,,,,,,,,,,,,
52,"Absolute Empfehlung, hier gehe ich gerne wieder hin.","('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')",,,,,,,,,,,,,,,
53,"Absolute Empfehlung, hier gehe ich gerne wieder hin.",,,,,,,,,,,,,,,,
54,Alle Personal sehr freundlich.,"('SERVICE', 'POSITIVE', 'Personal')",,,,,,,,,,,,,,,
55,Alle Personal sehr freundlich.,,,,,,,,,,,,,,,,
56,Allein wegen ihr würden wir wiederkommen :),"('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')",,,,,,,,,,,,,,,
57,Allein wegen ihr würden wir wiederkommen :),,,,,,,,,,,,,,,,
58,"Allerdings dauerte es ewig bis das Essen kam, obwohl das Lokal nur zu 1/3 gefüllt war.","('SERVICE', 'NEGATIVE', 'NULL')",,,,,,,,,,,,,,,
59,"Allerdings dauerte es ewig bis das Essen kam, obwohl das Lokal nur zu 1/3 gefüllt war.",,,,,,,,,,,,,,,,
60,"Allerdings gab man uns, trotz Reservierung wochenlang im Voraus, einen Tisch hinter dem ständig das dreckige Geschirr von abgeräumten Tischen deponiert wurde.","('AMBIENCE', 'NEGATIVE', 'Tisch')",,,,,,,,,,,,,,,
61,"Allerdings gab man uns, trotz Reservierung wochenlang im Voraus, einen Tisch hinter dem ständig das dreckige Geschirr von abgeräumten Tischen deponiert wurde.",,,,,,,,,,,,,,,,
62,Allerdings ist das Restaurant kein Schnäppchen.,"('PRICE', 'NEGATIVE', 'Restaurant')",,,,,,,,,,,,,,,
63,Allerdings ist das Restaurant kein Schnäppchen.,,,,,,,,,,,,,,,,
64,"Allerdings sahen die präsentierten frischen Fische an diesem Abend absolut nicht mehr frisch aus, weshalb ich mich nur für eine Fischsuppe entschieden habe.","('FOOD', 'NEGATIVE', 'Fische')",,,,,,,,,,,,,,,
65,"Allerdings sahen die präsentierten frischen Fische an diesem Abend absolut nicht mehr frisch aus, weshalb ich mich nur für eine Fischsuppe entschieden habe.",,,,,,,,,,,,,,,,
66,Allerdings waren die Bedienungen sehr aufmerksam.,"('SERVICE', 'POSITIVE', 'Bedienungen')",,,,,,,,,,,,,,,
67,Allerdings waren die Bedienungen sehr aufmerksam.,,,,,,,,,,,,,,,,
68,Alles in allem eine Unverschämtheit.,"('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')",,,,,,,,,,,,,,,
69,Alles in allem eine Unverschämtheit.,,,,,,,,,,,,,,,,
70,"Alles perfekt, eindeutig griechisch lecker, ok., der Reihe nach, im Detail:die sehr gute Vorspeise weckt den Appetit auf das Hauptgericht, das sowohl als Fleisch- und als Fischvariante absolut Klasse war, Ambiente angenehme Schlichtheit und das Personal in seiner waschechten, gastfreundlichen, griechischen Art einfach super!!","('FOOD', 'POSITIVE', 'Vorspeise')","('FOOD', 'POSITIVE', 'Fleisch- und als Fischvariante')","('AMBIENCE', 'POSITIVE', 'Ambiente')","('SERVICE', 'POSITIVE', 'Personal')",,,,,,,,,,,,
71,"Alles perfekt, eindeutig griechisch lecker, ok., der Reihe nach, im Detail:die sehr gute Vorspeise weckt den Appetit auf das Hauptgericht, das sowohl als Fleisch- und als Fischvariante absolut Klasse war, Ambiente angenehme Schlichtheit und das Personal in seiner waschechten, gastfreundlichen, griechischen Art einfach super!!",,,,,,,,,,,,,,,,
72,Alles wie immer frisch zu bereitet.,"('FOOD', 'POSITIVE', 'NULL')",,,,,,,,,,,,,,,
73,Alles wie immer frisch zu bereitet.,,,,,,,,,,,,,,,,
74,Als Hauptgericht war haben ein Steinbutt bestellt aber der Fish der serviert wurde hatte vielleicht mal ein Steinbutt von weitem gesehen.,"('FOOD', 'NEGATIVE', 'Fish')",,,,,,,,,,,,,,,
75,Als Hauptgericht war haben ein Steinbutt bestellt aber der Fish der serviert wurde hatte vielleicht mal ein Steinbutt von weitem gesehen.,,,,,,,,,,,,,,,,
76,"Als Kommentar kam nur der freche Spruch: das ist ebenso, da die Toilette im Untergeschoss sei.","('SERVICE', 'NEGATIVE', 'NULL')",,,,,,,,,,,,,,,
77,"Als Kommentar kam nur der freche Spruch: das ist ebenso, da die Toilette im Untergeschoss sei.",,,,,,,,,,,,,,,,
78,"Als nach einer dreiviertel Stunde endlich das Essen kam, war das sehr enttäuschend.","('FOOD', 'NEGATIVE', 'Essen')",,,,,,,,,,,,,,,
79,"Als nach einer dreiviertel Stunde endlich das Essen kam, war das sehr enttäuschend.",,,,,,,,,,,,,,,,
80,"Also versuchten wir zu bezahlen, was auch nicht sehr einfach war, weil ca.","('SERVICE', 'NEGATIVE', 'NULL')",,,,,,,,,,,,,,,
81,"Also versuchten wir zu bezahlen, was auch nicht sehr einfach war, weil ca.",,,,,,,,,,,,,,,,
82,Also wer großen Hunger hat wird wahrscheinlich nicht zufrieden gestellt.,"('FOOD', 'NEGATIVE', 'NULL')",,,,,,,,,,,,,,,
83,Also wer großen Hunger hat wird wahrscheinlich nicht zufrieden gestellt.,,,,,,,,,,,,,,,,
84,"Am Eingang ist niemand der einem die Abrechnungskarze übergibt, Warten !","('SERVICE', 'NEGATIVE', 'NULL')",,,,,,,,,,,,,,,
85,"Am Eingang ist niemand der einem die Abrechnungskarze übergibt, Warten !",,,,,,,,,,,,,,,,
86,"Am Ende waren wir sehr enttäuscht von dem sehr unfreundlichen Service, weshalb wir kein Trinkgeld gegeben haben, daraufhin bekamen wir zum Abschied nicht Mal ein Tschüss.","('SERVICE', 'NEGATIVE', 'Service')",,,,,,,,,,,,,,,
87,"Am Ende waren wir sehr enttäuscht von dem sehr unfreundlichen Service, weshalb wir kein Trinkgeld gegeben haben, daraufhin bekamen wir zum Abschied nicht Mal ein Tschüss.",,,,,,,,,,,,,,,,
88,"Am LOC gelegen, wird hier leckeres Bier und zünftiges Essen serviert.","('FOOD', 'POSITIVE', 'Bier')","('FOOD', 'POSITIVE', 'Essen')",,,,,,,,,,,,,,
89,"Am LOC gelegen, wird hier leckeres Bier und zünftiges Essen serviert.",,,,,,,,,,,,,,,,
90,"Ambiente gut, Wetter gut, Bedienung flink und freundlich.","('AMBIENCE', 'POSITIVE', 'Ambiente')","('AMBIENCE', 'POSITIVE', 'Wetter')","('SERVICE', 'POSITIVE', 'Bedienung')",,,,,,,,,,,,,
91,"Ambiente gut, Wetter gut, Bedienung flink und freundlich.",,,,,,,,,,,,,,,,
92,Ambiente und Essen sind sehr stimmig.,"('FOOD', 'POSITIVE', 'Essen')","('AMBIENCE', 'POSITIVE', 'Ambiente')",,,,,,,,,,,,,,
93,Ambiente und Essen sind sehr stimmig.,,,,,,,,,,,,,,,,
94,An den Getränken gibt es nichts auszusetzen.,"('FOOD', 'POSITIVE', 'Getränken')",,,,,,,,,,,,,,,
95,An den Getränken gibt es nichts auszusetzen.,,,,,,,,,,,,,,,,
96,"Anschließend hatte jeder ein Maß bestellt, wo die fast die Hälfte des Bieres aus Schaum bestand, allein das grenzte an Betrug.","('FOOD', 'NEGATIVE', 'Bieres')",,,,,,,,,,,,,,,
97,"Anschließend hatte jeder ein Maß bestellt, wo die fast die Hälfte des Bieres aus Schaum bestand, allein das grenzte an Betrug.",,,,,,,,,,,,,,,,
98,Anschließend war die Bedienung völlig mit jeglicher Weinempfehlung überfordert.,"('SERVICE', 'NEGATIVE', 'Bedienung')",,,,,,,,,,,,,,,
99,Anschließend war die Bedienung völlig mit jeglicher Weinempfehlung überfordert.,,,,,,,,,,,,,,,,
100,"Anstatt es einfach auszutauschen wurde mir gesagt, das ich da eben Pech habe.","('SERVICE', 'NEGATIVE', 'NULL')",,,,,,,,,,,,,,,
101,"Anstatt es einfach auszutauschen wurde mir gesagt, das ich da eben Pech habe.",,,,,,,,,,,,,,,,
102,"Aschenbecher vom Personal auf den Tisch gestellt, wo alte Zigaretten enthalten waren.","('AMBIENCE', 'NEGATIVE', 'Aschenbecher')","('SERVICE', 'NEGATIVE', 'Personal')",,,,,,,,,,,,,,
103,"Aschenbecher vom Personal auf den Tisch gestellt, wo alte Zigaretten enthalten waren.",,,,,,,,,,,,,,,,
104,"Atmosphäre des Lokals ist gut, Personal reagierte auf den Wunsch, beim Salat eine Zutat wegzulassen allerdings unflexibel und der Inhaber ist mehr als unfreundlich.","('AMBIENCE', 'POSITIVE', 'Atmosphäre')","('SERVICE', 'NEGATIVE', 'Inhaber')","('SERVICE', 'NEGATIVE', 'Personal')",,,,,,,,,,,,,
105,"Atmosphäre des Lokals ist gut, Personal reagierte auf den Wunsch, beim Salat eine Zutat wegzulassen allerdings unflexibel und der Inhaber ist mehr als unfreundlich.",,,,,,,,,,,,,,,,
106,Atmosphäre sehr gut.,"('AMBIENCE', 'POSITIVE', 'Atmosphäre')",,,,,,,,,,,,,,,
107,Atmosphäre sehr gut.,,,,,,,,,,,,,,,,
108,Auch Getränke überteuert.,"('PRICE', 'NEGATIVE', 'Getränke')",,,,,,,,,,,,,,,
109,Auch Getränke überteuert.,,,,,,,,,,,,,,,,
110,Auch das Kalbsschnitzel mit warmen Kartoffel-Gurkensalat sehr schön auf einem Holzbrett und einem Töpfchen serviert war sehr lecker.,"('FOOD', 'POSITIVE', 'Kalbsschnitzel mit warmen Kartoffel-Gurkensalat')",,,,,,,,,,,,,,,
111,Auch das Kalbsschnitzel mit warmen Kartoffel-Gurkensalat sehr schön auf einem Holzbrett und einem Töpfchen serviert war sehr lecker.,,,,,,,,,,,,,,,,
112,"Auch das Personal ist sehr freundlich, hilfsbereit und zuvorkommend!","('SERVICE', 'POSITIVE', 'Personal')",,,,,,,,,,,,,,,
113,"Auch das Personal ist sehr freundlich, hilfsbereit und zuvorkommend!",,,,,,,,,,,,,,,,
114,Auch der Murrejubbel Knödel und vor allem das LOC mit Apfelreduktion war ein Highlight.,"('FOOD', 'POSITIVE', 'Murrejubbel Knödel')","('FOOD', 'POSITIVE', 'LOC mit Apfelreduktion')",,,,,,,,,,,,,,
115,Auch der Murrejubbel Knödel und vor allem das LOC mit Apfelreduktion war ein Highlight.,,,,,,,,,,,,,,,,
116,"Auch der Service war aufmerksam, freundlich und kompetent","('SERVICE', 'POSITIVE', 'Service')",,,,,,,,,,,,,,,
117,"Auch der Service war aufmerksam, freundlich und kompetent",,,,,,,,,,,,,,,,
118,Auch der bestellte Wein kam erst nach dem Essen.,"('SERVICE', 'NEGATIVE', 'Wein')",,,,,,,,,,,,,,,
119,Auch der bestellte Wein kam erst nach dem Essen.,,,,,,,,,,,,,,,,
120,Auch die Ansprache Süßmaus bei der nächsten Gelegenheit war eher unpassend.,"('SERVICE', 'NEGATIVE', 'NULL')",,,,,,,,,,,,,,,
121,Auch die Ansprache Süßmaus bei der nächsten Gelegenheit war eher unpassend.,,,,,,,,,,,,,,,,
122,"Auch die Gaststube verströmt ein gewachsenes authentisches Ambiente, wie es in LOC nur noch selten zu finden ist.","('AMBIENCE', 'POSITIVE', 'Ambiente')",,,,,,,,,,,,,,,
123,"Auch die Gaststube verströmt ein gewachsenes authentisches Ambiente, wie es in LOC nur noch selten zu finden ist.",,,,,,,,,,,,,,,,
124,Auch die Lage ist wie in „ bella Italia“.,"('AMBIENCE', 'POSITIVE', 'Lage')",,,,,,,,,,,,,,,
125,Auch die Lage ist wie in „ bella Italia“.,,,,,,,,,,,,,,,,
126,Auch die Schnitzel kamen innerhalb einer 5-Minuten Frist und waren Massenware.,"('FOOD', 'NEGATIVE', 'Schnitzel')",,,,,,,,,,,,,,,
127,Auch die Schnitzel kamen innerhalb einer 5-Minuten Frist und waren Massenware.,,,,,,,,,,,,,,,,
128,Auch die Wein Empfehlung war super.,"('FOOD', 'POSITIVE', 'Wein Empfehlung')",,,,,,,,,,,,,,,
129,Auch die Wein Empfehlung war super.,,,,,,,,,,,,,,,,
130,"Auch wenn das Ambiente nicht so ansprechend war, hat uns doch das Konzept und die Frische der Speisen überzeugt.","('AMBIENCE', 'NEGATIVE', 'Ambiente')","('FOOD', 'POSITIVE', 'Speisen')",,,,,,,,,,,,,,
131,"Auch wenn das Ambiente nicht so ansprechend war, hat uns doch das Konzept und die Frische der Speisen überzeugt.",,,,,,,,,,,,,,,,
132,Auch wirklich gut und habe ich auch noch nie gegessen.,"('FOOD', 'POSITIVE', 'NULL')",,,,,,,,,,,,,,,
133,Auch wirklich gut und habe ich auch noch nie gegessen.,,,,,,,,,,,,,,,,
134,Auf diesen recht lieblos angerichteten - und gerade so : essbaren Burger mussten wir über eine Stunde (!!!),"('SERVICE', 'NEGATIVE', 'NULL')","('FOOD', 'NEGATIVE', 'Burger')",,,,,,,,,,,,,,
135,Auf diesen recht lieblos angerichteten - und gerade so : essbaren Burger mussten wir über eine Stunde (!!!),,,,,,,,,,,,,,,,
136,"Auf ein zwei schöne Biere kommen wir sicher wieder, essen werden wir vermutlich nicht mehr.","('FOOD', 'POSITIVE', 'Biere')","('FOOD', 'NEGATIVE', 'essen')",,,,,,,,,,,,,,
137,"Auf ein zwei schöne Biere kommen wir sicher wieder, essen werden wir vermutlich nicht mehr.",,,,,,,,,,,,,,,,
138,"Auf meine Beschwerde hin wurde mir gesagt, dass das bayrische Bier eben viel Schaum habe.","('SERVICE', 'NEGATIVE', 'NULL')",,,,,,,,,,,,,,,
139,"Auf meine Beschwerde hin wurde mir gesagt, dass das bayrische Bier eben viel Schaum habe.",,,,,,,,,,,,,,,,
140,Auf übermäßig Freundlichkeit des Service verzichtet man.,"('SERVICE', 'NEGATIVE', 'Service')",,,,,,,,,,,,,,,
141,Auf übermäßig Freundlichkeit des Service verzichtet man.,,,,,,,,,,,,,,,,
142,Authentisches griechisches Essen für einen super Preis.,"('FOOD', 'POSITIVE', 'Essen')","('PRICE', 'POSITIVE', 'Essen')",,,,,,,,,,,,,,
143,Authentisches griechisches Essen für einen super Preis.,,,,,,,,,,,,,,,,
144,Außerordentlich freundliches und aufmerksames Personal.,"('SERVICE', 'POSITIVE', 'Personal')",,,,,,,,,,,,,,,
145,Außerordentlich freundliches und aufmerksames Personal.,,,,,,,,,,,,,,,,
146,"Bahnhofs-Atmosphäre.. 19:35 kam die Vorspeise, wir mussten nach Besteck fragen… 19:45 kam die Hauptspeise, obwohl wir noch mit der Vorspeise beschäftigt waren.","('AMBIENCE', 'NEGATIVE', 'Bahnhofs-Atmosphäre')","('SERVICE', 'NEGATIVE', 'NULL')",,,,,,,,,,,,,,
147,"Bahnhofs-Atmosphäre.. 19:35 kam die Vorspeise, wir mussten nach Besteck fragen… 19:45 kam die Hauptspeise, obwohl wir noch mit der Vorspeise beschäftigt waren.",,,,,,,,,,,,,,,,
148,Bald wieder!,"('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')",,,,,,,,,,,,,,,
149,Bald wieder!,,,,,,,,,,,,,,,,
150,Bedienung leider nicht aufmerksam.,"('SERVICE', 'NEGATIVE', 'Bedienung')",,,,,,,,,,,,,,,
151,Bedienung leider nicht aufmerksam.,,,,,,,,,,,,,,,,
152,"Bedienung sehr freundlich, top!","('SERVICE', 'POSITIVE', 'Bedienung')",,,,,,,,,,,,,,,
153,"Bedienung sehr freundlich, top!",,,,,,,,,,,,,,,,
154,Bedienung war zuvorkommend und schnell.,"('SERVICE', 'POSITIVE', 'Bedienung')",,,,,,,,,,,,,,,
155,Bedienung war zuvorkommend und schnell.,,,,,,,,,,,,,,,,
156,"Bedienungen sprechen teilweise nur gebrochen deutsch, ich wurde trotz vieler freier Tische abgewiesen mit der Begründung „nicht genügend Personal“ …..","('SERVICE', 'NEGATIVE', 'Bedienungen')",,,,,,,,,,,,,,,
157,"Bedienungen sprechen teilweise nur gebrochen deutsch, ich wurde trotz vieler freier Tische abgewiesen mit der Begründung „nicht genügend Personal“ …..",,,,,,,,,,,,,,,,
158,Bei einer sehr freundlichen Kellnerin zwei Kölsch bestellt.,"('SERVICE', 'POSITIVE', 'Kellnerin')",,,,,,,,,,,,,,,
159,Bei einer sehr freundlichen Kellnerin zwei Kölsch bestellt.,,,,,,,,,,,,,,,,
160,Bei mir war es nicht viel besser.,"('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')",,,,,,,,,,,,,,,
161,Bei mir war es nicht viel besser.,,,,,,,,,,,,,,,,
162,Beides sehr gut.,"('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')",,,,,,,,,,,,,,,
163,Beides sehr gut.,,,,,,,,,,,,,,,,
164,Beides wurde einzeln gebracht mit einer Verzögerung von 10min.,"('SERVICE', 'NEGATIVE', 'Verzögerung')",,,,,,,,,,,,,,,
165,Beides wurde einzeln gebracht mit einer Verzögerung von 10min.,,,,,,,,,,,,,,,,
166,"Beim Bezahlen gaben wir dem Kellner dann Trinkgeld, was scheinbar nicht ausreichend war, weil er uns mit den Worten „ach heute ist nicht mehr drin?“ verabschiedete.","('SERVICE', 'NEGATIVE', 'Kellner')",,,,,,,,,,,,,,,
167,"Beim Bezahlen gaben wir dem Kellner dann Trinkgeld, was scheinbar nicht ausreichend war, weil er uns mit den Worten „ach heute ist nicht mehr drin?“ verabschiedete.",,,,,,,,,,,,,,,,
168,Beim Cheeseburger war nur eine Spur Cheese aufgelegt.,"('FOOD', 'NEGATIVE', 'Cheeseburger')","('FOOD', 'NEGATIVE', 'Cheese')",,,,,,,,,,,,,,
169,Beim Cheeseburger war nur eine Spur Cheese aufgelegt.,,,,,,,,,,,,,,,,
170,"Beim Schweinebraten hat die Würze gefehlt, der dazugehörige Salat war fantastisch, die Kruste auch, der Kartoffelknödel war essbar, der Semmelknödel weniger.","('FOOD', 'NEGATIVE', 'Schweinebraten')","('FOOD', 'POSITIVE', 'Salat')","('FOOD', 'POSITIVE', 'Kruste')","('FOOD', 'POSITIVE', 'Kartoffelknödel')","('FOOD', 'NEGATIVE', 'Semmelknödel')",,,,,,,,,,,
171,"Beim Schweinebraten hat die Würze gefehlt, der dazugehörige Salat war fantastisch, die Kruste auch, der Kartoffelknödel war essbar, der Semmelknödel weniger.",,,,,,,,,,,,,,,,
172,Beim Thai mixed Starter fehlten unkommentiert zwei auf der Speisekarte angekündigte Komponenten.,"('FOOD', 'NEGATIVE', 'Thai mixed Starter')",,,,,,,,,,,,,,,
173,Beim Thai mixed Starter fehlten unkommentiert zwei auf der Speisekarte angekündigte Komponenten.,,,,,,,,,,,,,,,,
174,Beim dritten Versuch war das Fleisch schon wieder kalt.,"('FOOD', 'NEGATIVE', 'Fleisch')",,,,,,,,,,,,,,,
175,Beim dritten Versuch war das Fleisch schon wieder kalt.,,,,,,,,,,,,,,,,
176,Beim zweiten Mal waren wir uns einig - so geht‘s nicht.,"('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')",,,,,,,,,,,,,,,
177,Beim zweiten Mal waren wir uns einig - so geht‘s nicht.,,,,,,,,,,,,,,,,
178,Belag teilweise Tiefkühlware.,"('FOOD', 'NEGATIVE', 'Belag')",,,,,,,,,,,,,,,
179,Belag teilweise Tiefkühlware.,,,,,,,,,,,,,,,,
180,Bereits die Online-Reservierung war komplett unkompliziert.,"('SERVICE', 'POSITIVE', 'NULL')",,,,,,,,,,,,,,,
181,Bereits die Online-Reservierung war komplett unkompliziert.,,,,,,,,,,,,,,,,
182,Besonders das Lachsfilet war sehr lecker.,"('FOOD', 'POSITIVE', 'Lachsfilet')",,,,,,,,,,,,,,,
183,Besonders das Lachsfilet war sehr lecker.,,,,,,,,,,,,,,,,
184,"Besonders für die liebe Bedienung , den netten Kellner und den aufmerksamen Service von (Luca) waren wir total dankbar 🤗 und das Dessert ( Cassata Siciliana) mmm unglaublich lecker 😋","('SERVICE', 'POSITIVE', 'Bedienung')","('SERVICE', 'POSITIVE', 'Kellner')","('FOOD', 'POSITIVE', 'Dessert')","('SERVICE', 'POSITIVE', 'Luca')",,,,,,,,,,,,
185,"Besonders für die liebe Bedienung , den netten Kellner und den aufmerksamen Service von (Luca) waren wir total dankbar 🤗 und das Dessert ( Cassata Siciliana) mmm unglaublich lecker 😋",,,,,,,,,,,,,,,,
186,"Besonders hervorzuheben, war der Kellner Jacques.","('SERVICE', 'POSITIVE', 'Jacques')",,,,,,,,,,,,,,,
187,"Besonders hervorzuheben, war der Kellner Jacques.",,,,,,,,,,,,,,,,
188,Besser nicht!,"('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')",,,,,,,,,,,,,,,
189,Besser nicht!,,,,,,,,,,,,,,,,
